It only produced 1 voice during this time:
Restart triggered at step 300: sigma=2.5000, elite head Target Sim:0.778 Self Sim:0.969 Feature Sim:0.675 Accent Sim:0.870 Score:82.21
Progress: step 300/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=0/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=4665.9s | eta=57545.6s
Progress: step 310/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=10/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=4732.5s | eta=56331.9s
Progress: step 320/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=20/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=4800.4s | eta=55204.3s
Progress: step 330/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=30/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=4868.6s | eta=54144.9s
Progress: step 340/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=40/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=4936.3s | eta=53138.3s
Progress: step 350/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=50/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=5004.4s | eta=52188.3s
Progress: step 360/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=60/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=5072.5s | eta=51288.4s
Progress: step 370/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=70/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=5140.6s | eta=50433.9s
Progress: step 380/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=80/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=5208.7s | eta=49619.9s
Progress: step 390/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=90/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=5277.1s | eta=48846.6s
Progress: step 400/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=100/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=5345.7s | eta=48111.0s
Progress: step 410/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=110/300 | beam=7 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=5419.6s | eta=47454.8s
Progress: step 420/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=120/300 | beam=7 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=5499.2s | eta=46873.7s
Progress: step 430/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=130/300 | beam=7 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=5578.7s | eta=46315.9s
Progress: step 440/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=140/300 | beam=7 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=5657.7s | eta=45776.1s
Progress: step 450/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=150/300 | beam=7 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=5736.1s | eta=45251.3s
Progress: step 460/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=160/300 | beam=7 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=5959.8s | eta=45864.3s
Progress: step 470/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=170/300 | beam=7 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=6182.1s | eta=46431.4s
Progress: step 480/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=180/300 | beam=7 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=6403.3s | eta=46957.4s
Progress: step 490/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=190/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=6645.9s | eta=47606.2s
Progress: step 500/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=200/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=6889.2s | eta=48224.2s
Progress: step 510/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=210/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=7131.8s | eta=48803.9s
Progress: step 520/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=220/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=7374.9s | eta=49354.9s
Progress: step 530/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=230/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=7618.8s | eta=49881.3s
Progress: step 540/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=240/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=7862.5s | eta=50378.5s
Progress: step 550/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=250/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=8105.5s | eta=50843.5s
Progress: step 560/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=260/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=8349.0s | eta=51286.8s
Progress: step 570/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=270/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=8592.7s | eta=51706.7s
Progress: step 580/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=280/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=8835.3s | eta=52098.0s
Progress: step 590/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=290/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=9078.6s | eta=52471.3s
Restart triggered at step 600: sigma=2.5000, elite head Target Sim:0.778 Self Sim:0.969 Feature Sim:0.675 Accent Sim:0.870 Score:82.21
Progress: step 600/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=0/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=9322.8s | eta=52829.3s
Progress: step 610/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=10/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=9385.3s | eta=52157.8s
Progress: step 620/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=20/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=9447.4s | eta=51503.8s
Progress: step 630/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=30/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=9509.1s | eta=50866.3s
Progress: step 640/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=40/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=9603.5s | eta=50418.6s
Progress: step 650/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=50/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=9783.4s | eta=50422.0s
Progress: step 660/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=60/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=9964.7s | eta=50427.3s
Progress: step 670/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=70/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=10147.3s | eta=50433.6s
Progress: step 680/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=80/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=10329.4s | eta=50431.8s
Progress: step 690/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=90/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=10511.3s | eta=50423.7s
Progress: step 700/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=100/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=10692.9s | eta=50409.3s
Progress: step 710/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=110/300 | beam=7 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=10878.5s | eta=50408.9s
Progress: step 720/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=120/300 | beam=7 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=11060.5s | eta=50386.6s
Progress: step 730/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=130/300 | beam=7 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=11263.0s | eta=50452.0s
Progress: step 740/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=140/300 | beam=7 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=11465.9s | eta=50512.0s
Progress: step 750/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=150/300 | beam=7 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=11667.5s | eta=50559.0s
Progress: step 760/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=160/300 | beam=7 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=11871.2s | eta=50608.9s
Progress: step 770/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=170/300 | beam=7 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=12075.0s | eta=50652.5s
Progress: step 780/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=180/300 | beam=7 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=12278.0s | eta=50686.0s
Progress: step 790/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=190/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=12499.1s | eta=50787.3s
Progress: step 800/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=200/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=12719.3s | eta=50877.3s
Progress: step 810/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=210/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=12939.0s | eta=50957.4s
Progress: step 820/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=220/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=13157.6s | eta=51025.9s
Progress: step 830/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=230/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=13376.0s | eta=51086.8s
Progress: step 840/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=240/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=13594.4s | eta=51140.9s
Progress: step 850/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=250/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=13813.6s | eta=51191.7s
Progress: step 860/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=260/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=14032.3s | eta=51234.3s
Progress: step 870/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=270/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=14251.1s | eta=51271.2s
Progress: step 880/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=280/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=14469.8s | eta=51302.0s
Progress: step 890/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=290/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=14689.8s | eta=51331.7s
Restart triggered at step 900: sigma=2.5000, elite head Target Sim:0.781 Self Sim:0.972 Feature Sim:0.533 Accent Sim:0.878 Score:80.82
Progress: step 900/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=0/300 | beam=8 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=14910.0s | eta=51356.8s
Progress: step 910/4000 | best_score=82.21 | best_target_sim=0.778 | best_accent_sim=0.870 | stagnation=10/300 | beam=6 | w=t:0.45/s:0.15/f:0.07/a:0.33 | elapsed=15087.2s | eta=51230.1s
